chunk_id|GUID,contents|text,parent|text,page|text,is_page|BL,is_tag|BL,is_template|BL,is_slot|BL,ref|URI,Tags|text,created_time|datetime,last_updated|datetime
81580bbd-94d2-4a90-a667-d2c1afbfa32a,20250920 筆記,top,81580bbd-94d2-4a90-a667-d2c1afbfa32a,v,,,,,,,
b61adec0-848e-4f29-887f-58dcf1a22513,在 n8n 自動化使用 Google 服務詳解 | 從申請 Google Service Account 到 n8n Credential 設定,81580bbd-94d2-4a90-a667-d2c1afbfa32a,81580bbd-94d2-4a90-a667-d2c1afbfa32a,,,,,,[h1](e0df634f-26a5-49a4-b24d-d0b9bacfd58d),,
1ca01d2c-520d-47a1-a640-c54bfa302d61,目錄,b61adec0-848e-4f29-887f-58dcf1a22513,81580bbd-94d2-4a90-a667-d2c1afbfa32a,,,,,,,,
ca0e6c2d-c5e0-449f-826e-765602c02bb3,第一段：Google 多種認證方式解析,1ca01d2c-520d-47a1-a640-c54bfa302d61,81580bbd-94d2-4a90-a667-d2c1afbfa32a,,,,,[Google 多種認證方式解析](f05132ac-f369-4741-ab73-47c4319f5f53),,,
dfb418fd-1721-4baa-82cc-f012e680d52a,第二段：開始申請 Service Account,1ca01d2c-520d-47a1-a640-c54bfa302d61,81580bbd-94d2-4a90-a667-d2c1afbfa32a,,,,,[開始申請 Service Account](3f47d3a8-3b5d-42ad-9b9e-fde775ce2cd4),,,
645decf9-66dc-4778-8365-d715e55254ae,網站服務用「帳密」認證，n8n 代替你整合各種服務，但它不會輸入帳密，要把網站的「API Key」（API金鑰），存在 n8n 的「證書」（Credential）中，就可以代表你整合各種服務了。但非常有用的 Google services 認證方式卻很繁雜，導致每次上課總有學員卡關，本文詳解取得 Service Account 的細節。,b61adec0-848e-4f29-887f-58dcf1a22513,81580bbd-94d2-4a90-a667-d2c1afbfa32a,,,,,,,,
e43fe0aa-18cc-4fb8-8bee-1e26e439d306,你可以把本文做為小抄，忘了再回來查！我會持續更新，保持在最新狀態。,b61adec0-848e-4f29-887f-58dcf1a22513,81580bbd-94d2-4a90-a667-d2c1afbfa32a,,,,,,,,
f05132ac-f369-4741-ab73-47c4319f5f53,Google 多種認證方式解析,b61adec0-848e-4f29-887f-58dcf1a22513,81580bbd-94d2-4a90-a667-d2c1afbfa32a,,,,,,[h2](473651c7-4005-4eca-aeff-217d9cc9a974),,
2a3aa1a8-5f36-4324-a944-2bbdd7b5398d,Google 提供了「GCP，Google Cloud Console」，剛進去會覺得是天書，久了以後，還是天書~~，沒關係，不求什麼都懂，我們先懂認證方式即可，這段搞定，Google 服務本身還是比較易懂的。,f05132ac-f369-4741-ab73-47c4319f5f53,81580bbd-94d2-4a90-a667-d2c1afbfa32a,,,,,,,,
b4259b72-99b3-4206-bb28-e6d9386ff99f,Google 有 3 種認證方式：,f05132ac-f369-4741-ab73-47c4319f5f53,81580bbd-94d2-4a90-a667-d2c1afbfa32a,,,,,,[ol](d1251150-26dd-4ea9-ba2e-6e34062ddcac),,
65ba432a-3911-46fe-95bc-8783f04196ab,API 金鑰（API Key）：這是最容易使用的，跟大部分服務類似，就是一長串文字貼進去就好了！可惜 Google 只有少部分服務提供，例如 Google Gemini。,f05132ac-f369-4741-ab73-47c4319f5f53,81580bbd-94d2-4a90-a667-d2c1afbfa32a,,,,,,,,
b90aef12-14f7-4340-b83f-054d9426137d,開放授權協定 2.0（OAuth2）：這是好幾家科技公司合作制定的「授權標準協定」，包括 Google 和 Facebook 等，目的是讓人可以用大廠的帳號登入其他網站。例如「使用Google 認證登入 Line」就省下每個網站登錄的麻煩。但如果你發現你的工作流突然沒工作，很大機率是 OAuth2 被 Google 踢掉了。雖然 Google 說在少數狀況下才會把你登出，但 n8n 社群回報常莫名其妙被踢掉，就要再次手動認證，造成不少麻煩。,f05132ac-f369-4741-ab73-47c4319f5f53,81580bbd-94d2-4a90-a667-d2c1afbfa32a,,,,,,,,
